DS,Y
2021-01-01,7.61
2021-01-02,7.91
2021-01-03,8.03
2021-01-04,8.06
2021-01-05,8.04
2021-01-06,7.88
2021-01-07,7.26
2021-01-08,6.09
2021-01-09,6.68
2021-01-10,6.53
2021-01-11,6.86
2021-01-12,7.3
2021-01-13,6.44
2021-01-14,5.58
2021-01-15,5.65
2021-01-16,6.29
2021-01-17,5.83
2021-01-18,5.77
2021-01-19,5.87
2021-01-20,5.76
2021-01-21,5.9
2021-01-22,6.43
2021-01-23,6.96
2021-01-24,6.95
2021-01-25,6.94
2021-01-26,6.75
2021-01-27,6.82
2021-01-28,6.82
2021-01-29,6.66
2021-01-30,6.46
2021-01-31,6.76
2021-02-01,7.01
2021-02-02,7.15
2021-02-03,6.69
2021-02-04,6.46
2021-02-05,6.75
2021-02-06,6.57
2021-02-07,7.2
2021-02-08,7.58
2021-02-09,6.83
2021-02-10,7.02
2021-02-11,7.19
2021-02-12,7.42
2021-02-13,8.05
2021-02-14,8.35
2021-02-15,8.49
2021-02-16,7.81
2021-02-17,7.83
2021-02-18,7.3
2021-02-19,7.45
2021-02-20,7.85
2021-02-21,8.71
2021-02-22,9.21
2021-02-23,8.6
2021-02-24,8.23
2021-02-25,8.05
2021-02-26,8.52
2021-02-27,8.77
2021-02-28,8.85
2021-03-01,9.26
2021-03-02,9.93
2021-03-03,9.62
2021-03-04,9.73
2021-03-05,9.88
2021-03-06,10.71
2021-03-07,10.05
2021-03-08,10.21
2021-03-09,10.22
2021-03-10,10.42
2021-03-11,9.62
2021-03-12,10.21
2021-03-13,9.74
2021-03-14,10.14
2021-03-15,10.08
2021-03-16,10.83
2021-03-17,10.88
2021-03-18,11.01
2021-03-19,11.26
2021-03-20,11.66
2021-03-21,11.05
2021-03-22,10.79
2021-03-23,11.01
2021-03-24,11.64
2021-03-25,11.87
2021-03-26,12.12
2021-03-27,12.66
2021-03-28,13.03
2021-03-29,14.98
2021-03-30,13.97
2021-03-31,13.22
2021-04-01,13.4
2021-04-02,13
2021-04-03,13.52
2021-04-04,14.23
2021-04-05,13.26
2021-04-06,12.96
2021-04-07,13.08
2021-04-08,13.85
2021-04-09,13.61
2021-04-10,13.88
2021-04-11,14.14
2021-04-12,14.63
