base_month,leis_sports_cnt,ref_view_cnt,meet_work_cnt,visit_rel_cnt,edu_trip_cnt,etc_cnt,total_visit_cnt,평균기온(℃),최고기온(℃),최저기온(℃),강수량(mm),평균풍속(m/s),최대풍속(m/s),,일시,평균습도(%rh),일조합(hr),일조율(%),일사합(MJ/m2),,,,ref_view_cnt,평균기온(℃),,ref_view_cnt,강수량(mm),,ref_view_cnt,평균풍속(m/s)
201501,127063,521304,75791,55457,3621,9432,792668,7.4,17.5,1.2,82.4,3.9,12.9,,15-Jun,80,129.7,30.11,479.34,,,1,521304,7.4,,521304,82.4,,521304,3.9
201502,134718,459032,72552,43058,202,12025,721587,7.3,17.3,-0.7,35.5,3.7,11.2,,15-Jul,81,196.1,44.75,593.93,,,2,459032,7.3,,459032,35.5,,459032,3.7
201503,143528,490004,78294,44581,20466,14841,791714,10.4,22.2,0.2,80.7,2.9,10.9,,15-Aug,78,193.6,46.65,530.07,,,3,490004,10.4,,490004,80.7,,490004,2.9
201504,146259,623087,83467,27927,44893,13662,939295,15.1,27.7,7,147.9,2.9,13.4,,15-Sep,73,199.2,53.52,494.55,,,4,623087,15.1,,623087,147.9,,623087,2.9
201505,179944,628479,87166,29779,71746,18225,1015339,18.8,29.4,11,150,2.6,10.1,,16-Jun,83,110.1,25.56,451.38,,,5,628479,18.8,,628479,150,,628479,2.6
201507,90603,764619,100920,22237,2648,14345,995372,25.6,36.7,19.1,329.7,3.1,11.1,,16-Aug,74,258.1,62.31,631.34,,,7,764619,25.6,,764619,329.7,,764619,3.1
201508,117021,914476,52321,17440,3859,10006,1115123,26.4,35.5,20.4,248.6,2.5,10.4,,16-Sep,80,115,30.96,367.08,,,8,914476,26.4,,914476,248.6,,914476,2.5
201509,58072,672526,61332,120474,25997,24751,963152,23.2,28.6,18.4,172.9,2.7,9.4,,17-Jun,77,177.6,41.23,584.91,,,9,672526,23.2,,672526,172.9,,672526,2.7
201510,141554,662736,168641,45129,46873,31319,1096252,19.2,27.5,11.7,31,3.1,10.2,,17-Jul,76,208.8,47.67,617.2,,,10,662736,19.2,,662736,31,,662736,3.1
201511,208080,484726,187279,24236,17119,31083,952523,15.2,23.8,3.1,173.2,3,12.2,,17-Aug,74,237.3,57.24,619.22,,,11,484726,15.2,,484726,173.2,,484726,3
