Date,Food,Cereals
1,98.8,98
2,100.7,99
3,101.5,98.4
4,99,94
5,96.3,91.8
6,96.8,90.7
7,96.3,90.6
8,95.8,87.8
9,100,95.3
10,107.7,112.9
11,114.1,125.9
12,120.1,130.6
13,124.1,132.4
14,129.3,139.7
15,133.7,144.9
16,137.6,151.4
17,134.3,145.5
18,136.4,151.7
19,135.2,150.9
20,135,147.1
21,133.2,140.5
22,133,144.9
23,130.4,140.5
24,125.7,133.1
25,126.1,130.9
26,122.1,124.4
27,122.4,127.2
28,125.4,131.1
29,125.8,130.6
30,124.4,129.1
31,119,126.3
32,115.9,125.3
33,122.1,143.9
34,123.4,147.1
35,125.2,146.8
36,124,146.5
37,123.6,148.5
38,122.9,146.4
39,123.4,145.2
40,123.3,142.3
41,122.9,139.9
42,122.9,134.9
43,122.1,136.4
44,120.9,133.8
45,117.9,126.4
46,116.2,119.2
47,116.4,116.7
48,118.8,118.7
49,118.7,118
50,118.2,117.9
51,116.2,117
52,118.5,119.7
53,122.1,125.4
54,121.5,125.5
55,121.3,125.2
56,119.3,118.7
57,116.4,112.2
58,113,110.4
59,109.3,107.4
60,109.4,108.2
61,108.2,109.3
62,105.1,110.9
63,100.7,105.9
64,98.5,101.6
65,95.6,99.5
66,94.7,98.2
67,95,95.7
68,94.5,96.7
69,93.8,98.9
70,89.6,91.9
71,89,90.5
72,90.4,91.7
73,87.7,90.5
74,87.1,89.4
75,84.9,87.6
76,86,87.3
77,87.4,86.5
78,89.2,88.4
79,90.6,91.1
80,93.8,94.1
81,93,90.4
82,95.3,89.3
83,96.1,86.3
84,95.9,86.7
85,95.8,86
86,95.1,86.1
87,97.7,88.7
88,98.1,90
89,96.2,87.9
90,95.1,86.9
91,97.4,88.3
92,98,92.4
93,100.2,96.9
94,99.3,92.3
95,99.9,92.1
96,98.9,91.8
97,98.9,92.1
98,96.4,92.4
99,96.8,95.2
100,97.9,98.4
101,99,101.8
102,98.6,104
103,98.7,105.5
104,97,100.8
105,95.1,98.7
106,96,103.5
107,94.2,100.3
108,93.3,100.9
109,92.2,99.6
110,92.2,101.1
111,93.3,101.8
112,94,100.7
113,93.2,97.5
114,93.6,94.6
115,94.3,94.4
116,95.4,99.2
117,95.1,97.6
118,94.1,92.6
119,93.4,91.8
120,95.2,96
