Date,Food,Cereals
20191001,95.2,96
20190901,93.4,91.8
20190801,94.1,92.6
20190701,95.1,97.6
20190601,95.4,99.2
20190501,94.3,94.4
20190401,93.6,94.6
20190301,93.2,97.5
20190201,94,100.7
20190101,93.3,101.8
20181201,92.2,101.1
20181101,92.2,99.6
20181001,93.3,100.9
20180901,94.2,100.3
20180801,96,103.5
20180701,95.1,98.7
20180601,97,100.8
20180501,98.7,105.5
20180401,98.6,104
20180301,99,101.8
20180201,97.9,98.4
20180101,96.8,95.2
20171201,96.4,92.4
20171101,98.9,92.1
20171001,98.9,91.8
20170901,99.9,92.1
20170801,99.3,92.3
20170701,100.2,96.9
20170601,98,92.4
20170501,97.4,88.3
20170401,95.1,86.9
20170301,96.2,87.9
20170201,98.1,90
20170101,97.7,88.7
20161201,95.1,86.1
20161101,95.8,86
20161001,95.9,86.7
20160901,96.1,86.3
20160801,95.3,89.3
20160701,93,90.4
20160601,93.8,94.1
20160501,90.6,91.1
20160401,89.2,88.4
20160301,87.4,86.5
20160201,86,87.3
20160101,84.9,87.6
20151201,87.1,89.4
20151101,87.7,90.5
20151001,90.4,91.7
20150901,89,90.5
20150801,89.6,91.9
20150701,93.8,98.9
20150601,94.5,96.7
20150501,95,95.7
20150401,94.7,98.2
20150301,95.6,99.5
20150201,98.5,101.6
20150101,100.7,105.9
20141201,105.1,110.9
20141101,108.2,109.3
20141001,109.4,108.2
20140901,109.3,107.4
20140801,113,110.4
20140701,116.4,112.2
20140601,119.3,118.7
20140501,121.3,125.2
20140401,121.5,125.5
20140301,122.1,125.4
20140201,118.5,119.7
20140101,116.2,117
20131201,118.2,117.9
20131101,118.7,118
20131001,118.8,118.7
20130901,116.4,116.7
20130801,116.2,119.2
20130701,117.9,126.4
20130601,120.9,133.8
20130501,122.1,136.4
20130401,122.9,134.9
20130301,122.9,139.9
20130201,123.3,142.3
20130101,123.4,145.2
20121201,122.9,146.4
20121101,123.6,148.5
20121001,124,146.5
20120901,125.2,146.8
20120801,123.4,147.1
20120701,122.1,143.9
20120601,115.9,125.3
20120501,119,126.3
20120401,124.4,129.1
20120301,125.8,130.6
20120201,125.4,131.1
20120101,122.4,127.2
20111201,122.1,124.4
20111101,126.1,130.9
20111001,125.7,133.1
20110901,130.4,140.5
20110801,133,144.9
20110701,133.2,140.5
20110601,135,147.1
20110501,135.2,150.9
20110401,136.4,151.7
20110301,134.3,145.5
20110201,137.6,151.4
20110101,133.7,144.9
20101201,129.3,139.7
20101101,124.1,132.4
20101001,120.1,130.6
20100901,114.1,125.9
20100801,107.7,112.9
20100701,100,95.3
20100601,95.8,87.8
20100501,96.3,90.6
20100401,96.8,90.7
20100301,96.3,91.8
20100201,99,94
20100101,101.5,98.4
20091201,100.7,99
20091101,98.8,98
