ymd,wt
2019-01-01,7.34
2019-01-02,7
2019-01-03,6.38
2019-01-04,6.34
2019-01-05,6.69
2019-01-06,6.52
2019-01-07,6.57
2019-01-08,6.6
2019-01-09,6.19
2019-01-10,6.29
2019-01-11,6.35
2019-01-12,6.87
2019-01-13,6.83
2019-01-14,6.92
2019-01-15,6.87
2019-01-16,6.23
2019-01-17,6.48
2019-01-18,7.53
2019-01-19,6.93
2019-01-20,7.08
2019-01-21,6.76
2019-01-22,7.1
2019-01-23,6.93
2019-01-24,7.59
2019-01-25,7.62
2019-01-26,7.08
2019-01-27,6.71
2019-01-28,7
2019-01-29,7.27
2019-01-30,5.99
2019-01-31,6.54
2019-02-01,6.13
2019-02-02,6
2019-02-03,6.94
2019-02-04,7.45
2019-02-05,7.59
2019-02-06,7.78
2019-02-07,8.15
2019-02-08,7.53
2019-02-09,6.74
2019-02-10,6.72
2019-02-11,7.26
2019-02-12,6.41
2019-02-13,6.53
2019-02-14,6.48
2019-02-15,6.94
2019-02-16,6.73
2019-02-17,7.25
2019-02-18,7.37
2019-02-19,7.63
2019-02-20,6.62
2019-02-21,6.74
2019-02-22,7.37
2019-02-23,7.03
2019-02-24,7.16
2019-02-25,7.66
2019-02-26,7.72
2019-02-27,8
2019-02-28,8.21
2019-03-01,9.4
2019-03-02,9.66
2019-03-03,11.78
2019-03-04,9.95
2019-03-05,10.91
2019-03-06,9.66
2019-03-07,9.46
2019-03-08,9.28
2019-03-09,9.73
2019-03-10,10.26
2019-03-11,9.51
2019-03-12,10.23
2019-03-13,9.66
2019-03-14,9.76
2019-03-15,10.11
2019-03-16,9.06
2019-03-17,9.86
2019-03-18,10.2
2019-03-19,11.08
2019-03-20,11.18
2019-03-21,11.23
2019-03-22,10.64
2019-03-23,10.84
2019-03-24,10.91
2019-03-25,12.46
2019-03-26,12.26
2019-03-27,13.35
2019-03-28,11.79
2019-03-29,11.94
2019-03-30,12.39
2019-03-31,11.9
2019-04-01,11.5
2019-04-02,11.57
2019-04-03,11.58
2019-04-04,11.88
2019-04-05,12.33
2019-04-06,12.42
2019-04-07,12.92
2019-04-08,12.62
2019-04-09,13.39
2019-04-10,12.82
2019-04-11,12.64
2019-04-12,13.03
2019-04-13,13.62
2019-04-14,14.14
2019-04-15,13.55
2019-04-16,13.98
2019-04-17,14.06
2019-04-18,14.4
2019-04-19,14.52
2019-04-20,14.77
2019-04-21,15.14
2019-04-23,15.77
2019-04-24,15.6
2019-04-25,16.59
2019-04-26,15.77
2019-04-27,14.62
2019-04-28,15.13
2019-04-29,15.26
2019-04-30,14.98
2019-05-01,15.45
2019-05-02,16.28
2019-05-03,15.89
2019-05-04,16.43
2019-05-05,16.6
2019-05-06,16.77
2019-05-07,16.94
2019-05-08,17.11
2019-05-09,17.28
2019-05-10,17.6
2019-05-11,17.92
2019-05-12,18.14
2019-05-13,19.23
2019-05-14,19.04
2019-05-15,19.37
2019-05-16,21.5
2019-05-17,20.64
2019-05-18,20.4
2019-05-19,19.97
2019-05-20,19.54
2019-05-21,19.17
2019-05-22,19.43
2019-05-23,19.73
2019-05-24,20.22
2019-05-25,21.13
2019-05-26,20.03
2019-05-27,21.07
2019-05-28,19.92
2019-05-29,19.76
2019-05-30,20.57
2019-05-31,24.8
2019-06-01,19.33
2019-06-02,23.93
2019-06-03,23.62
2019-06-04,24.77
2019-06-05,21.27
2019-06-06,21.18
2019-06-07,21.37
2019-06-08,21.4675
2019-06-09,21.565
2019-06-10,21.6625
2019-06-11,21.76
2019-06-12,21.705
2019-06-13,21.4825
2019-06-14,21.65
2019-06-15,21.26
2019-06-16,21.59
2019-06-17,21.54
2019-06-18,22.31
2019-06-19,22.61
2019-06-20,22.89
2019-06-21,23.55
2019-06-22,24.19
2019-06-23,23.69
2019-06-24,23.58
2019-06-25,23.51
2019-06-26,23.55
2019-06-27,23.21
2019-06-28,24.48
2019-06-29,24.02
2019-06-30,23.46
2019-07-01,24.52
2019-07-02,24.46
2019-07-03,25.21
2019-07-04,24.03
2019-07-05,24.79
2019-07-06,24.2
2019-07-07,25.06
2019-07-08,24.83
2019-07-09,24.36
2019-07-10,23.68
2019-07-11,22.35
2019-07-12,23.74
2019-07-13,23.56
2019-07-14,23.3
2019-07-15,23.21
2019-07-16,23.89
2019-07-17,24.12
2019-07-18,24.63
