ymd,wt,hic
2010-01-01 0:00,5.17472,8.03886
2010-01-02 0:00,0,0
2010-01-03 0:00,6.084,8.2949
2010-01-04 0:00,5.921,8.03804
2010-01-05 0:00,5.93,8.05036
2010-01-06 0:00,5.083,0
2010-01-07 0:00,4.64042,8.00116
2010-01-08 0:00,5.02131,0
2010-01-09 0:00,0,0
2010-01-10 0:00,5.91822,0
2010-01-11 0:00,5.89142,0
2010-01-12 0:00,5.35489,8.0208
2010-01-13 0:00,5.10859,8.0674
2010-01-14 0:00,4.9422,8.0504
2010-01-15 0:00,0,0
2010-01-16 0:00,5.39614,7.94415
2010-01-17 0:00,5.3042,8.179
2010-01-18 0:00,5.35153,8.2714
2010-01-19 0:00,5.13258,8.316
2010-01-20 0:00,5.34718,8.2655
2010-01-21 0:00,5.459,7.9635
2010-01-22 0:00,5.838,7.87
2010-01-23 0:00,6.22202,7.92
2010-01-24 0:00,6.37819,7.79948
2010-01-25 0:00,7.43602,7.81712
2010-01-26 0:00,0,0
2010-01-27 0:00,7.90928,0
2010-01-28 0:00,7.39987,7.9775
2010-01-29 0:00,4.866,7.995
2010-01-30 0:00,4.842,8.05
2010-01-31 0:00,5.204,8.01
2010-02-01 0:00,5.175,8.04
2010-02-02 0:00,5.25979,8.00668
2010-02-03 0:00,4.84107,8.03919
2010-02-04 0:00,4.68189,8.03804
2010-02-05 0:00,4.85599,8.05036
2010-02-06 0:00,4.53818,7.99512
2010-02-07 0:00,4.64042,8.00116
2010-02-08 0:00,5.02131,7.96036
2010-02-09 0:00,0,0
2010-02-10 0:00,5.91822,7.92423
2010-02-11 0:00,5.89142,7.97434
2010-02-12 0:00,5.35489,7.94858
2010-02-13 0:00,5.10859,7.96075
2010-02-14 0:00,4.9422,7.94757
2010-02-15 0:00,5.6319,7.96025
2010-02-16 0:00,5.39614,7.94415
2010-02-17 0:00,5.3042,7.9403
2010-02-18 0:00,5.35153,7.92537
2010-02-19 0:00,5.13258,7.94806
2010-02-20 0:00,5.34718,7.94926
2010-02-21 0:00,5.3424,7.90268
2010-02-22 0:00,5.838,7.87
2010-02-23 0:00,6.22202,7.84973
