일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자,total_visit_cnt
Jan-15,7.4,10.2,17.5,2015-01-05,4.9,1.2,2015-01-18,792668
Feb-15,7.3,10.1,17.3,2015-02-21,4.7,-0.7,2015-02-08,721587
Mar-15,10.4,13.6,22.2,2015-03-31,7.3,0.2,2015-03-10,791714
Apr-15,15.1,19.2,27.7,2015-04-02,12,7,2015-04-14,939295
May-15,18.8,22.7,29.4,2015-05-14,15.9,11,2015-05-05,1015339
Jun-15,22,25.3,30.6,2015-06-12,19.5,15.3,2015-06-06,756387
Jul-15,25.6,28.8,36.7,2015-07-29,23.2,19.1,2015-07-07,995372
Aug-15,26.4,29.3,35.5,2015-08-06,24.1,20.4,2015-08-25,1115123
Sep-15,23.2,25.9,28.6,2015-09-03,20.7,18.4,2015-09-20,963152
Oct-15,19.2,22.6,27.5,2015-10-01,16.3,11.7,2015-10-31,1096252
Nov-15,15.2,17.8,23.8,2015-11-04,12.6,3.1,2015-11-26,952523
Dec-15,10,12.4,20.1,2015-12-02,7.7,2.3,2015-12-17,900723
Jan-16,6.1,8.3,16.8,2016-01-02,4.1,-5.8,2016-01-24,884466
Feb-16,7.3,10.6,20.5,2016-02-12,4.5,-0.4,2016-02-15,879708
Mar-16,10.8,14.3,22.5,2016-03-04,7.6,1,2016-03-01,920582
Apr-16,15.6,19.6,24.5,2016-04-16,12.6,9.8,2016-04-01,1066510
May-16,18.9,22.9,30.4,2016-05-15,15.7,11.8,2016-05-16,1095575
Jun-16,22.2,25.5,30.2,2016-06-24,19.8,16.7,2016-06-02,1065241
Jul-16,27.4,30.7,35.5,2016-07-28,25,22.3,2016-07-03,1143578
Aug-16,28.5,31.4,34.4,2016-08-12,26.1,19.9,2016-08-28,1116449
Sep-16,23.9,26.3,33,2016-09-01,21.9,18.9,2016-09-23,1027964
Oct-16,20.1,22.9,32.1,2016-10-02,18.1,12.2,2016-10-30,1110276
Nov-16,13.7,16.9,23.2,2016-11-14,11,6.7,2016-11-24,990222
Dec-16,9.5,12.7,22.3,2016-12-21,6.6,3.1,2016-12-16,949388
Jan-17,6.6,9.2,14.8,2017-01-29,4.2,0.7,2017-01-26,1005438
Feb-17,6.8,10.3,18.9,2017-02-16,3.3,-1.1,2017-02-10,905821
Mar-17,9.8,13,17.9,2017-03-29,6.9,3,2017-03-03,1000871
Apr-17,15.7,19.5,27.6,2017-04-30,12.4,8.5,2017-04-03,1214588
May-17,19.5,23.6,28.1,2017-05-11,16.1,13.6,2017-05-27,1219337
Jun-17,22,25.3,28,2017-06-18,19.5,16.7,2017-06-04,1187388
Jul-17,29.2,32.7,37,2017-07-21,26.5,23.1,2017-07-01,1191311
Aug-17,28.7,32,35.7,2017-08-24,26.1,22.1,2017-08-30,1240389
Sep-17,24,27.2,32.1,2017-09-06,21.6,18,2017-09-30,1186048
Oct-17,19.3,21.8,27.4,2017-10-10,16.9,9.8,2017-10-31,1229679
Nov-17,12.6,16,24.2,2017-11-10,9.5,5,2017-11-30,1097987
Dec-17,7.2,9.8,15.1,2017-12-23,4.6,0.7,2017-12-14,1043775
Jan-18,4.9,7.3,14.4,2018-01-16,2.4,-2.6,2018-01-25,1044956
Feb-18,5.5,8.7,17.5,2018-02-28,2.4,-2.5,2018-02-06,892863
