ymd,dep,wt,pH
2015-04-17 18:45,0,13.0,8.154 
2015-08-17 20:15,0,25.8,8.292
2015-10-22 04:45,0,20.9,8.105
2016-04-16 09:35,0,12.6,8.144
2016-08-13 18:50,0,29.0,8.086
2016-10-18 11:15,0,21.7,8.038
2016-10-18 11:15,30,22.5,8.285
2017-04-16 03:00,0,12.7,8.153
2017-04-16 03:00,30,12.0,8.098
2017-08-26 11:00,0,27.4,8.099 
2017-08-26 11:00,30,18.0,7.854 
2017-10-26 00:30,0,20.8,8.058
2017-10-26 00:30,30,21.0,8.062
2018-04-19 22:55,0,12.9,8.161
2018-04-19 22:55,30,12.3,8.110
2018-08-14 20:40,0,29.1,7.986
2018-08-14 20:40,30,21.2,7.870
2018-10-22 4:30,0,20.1,8.077
2018-10-22 04:30,30,20.1,7.990
