rou,fir,sec,thi,for,fif,six,bon
1,3,11,15,20,35,44,10
2,1,6,12,19,36,42,28
3,6,7,22,32,35,36,19
4,2,5,11,17,24,29,9
5,12,30,32,37,39,41,24
6,5,7,12,13,18,35,23
7,14,16,27,35,39,45,5
8,5,12,13,31,32,41,34
9,8,9,20,25,29,33,7
10,9,18,20,22,38,44,10
11,10,14,16,18,29,35,25
12,5,6,11,29,42,45,28
13,12,15,17,24,29,45,16
14,12,27,29,38,41,45,6
15,1,4,13,17,34,39,6
16,3,19,21,25,37,45,35
17,12,18,22,23,30,34,32
18,15,26,28,34,41,42,44
19,14,23,31,33,37,40,44
20,3,11,14,18,26,27,21
21,21,22,26,34,36,41,32
22,5,11,18,20,35,45,3
23,1,9,12,26,35,38,42
24,9,12,15,25,34,36,3
25,15,23,29,34,40,44,20
26,9,11,30,31,41,44,33
27,8,11,16,19,21,25,40
28,8,11,15,16,17,37,36
29,8,13,18,24,27,29,17
30,7,15,30,37,39,44,18
31,1,4,29,39,43,45,31
32,17,25,33,35,38,45,15
33,6,10,12,14,20,42,15
34,2,8,19,22,32,42,39
35,1,3,9,14,18,28,34
36,13,17,18,20,42,45,41
37,4,7,14,16,24,44,20
38,6,11,15,24,32,39,28
39,1,4,13,29,38,39,7
40,1,3,8,24,27,35,28
41,6,14,16,18,24,42,44
42,12,20,26,33,44,45,24
43,13,18,25,31,33,44,38
44,2,4,25,26,36,37,28
45,17,18,21,27,29,33,26
46,2,13,20,30,31,41,27
47,2,4,15,23,29,38,7
48,7,10,16,28,41,42,40
49,17,21,23,30,34,44,19
50,3,10,23,35,36,37,18
51,13,23,26,31,35,43,15
52,5,7,13,20,21,44,33
53,27,36,37,41,43,45,32
54,3,13,16,23,24,35,14
55,7,11,16,21,27,33,24
56,1,7,15,32,34,42,8
57,2,9,10,14,22,44,16
58,4,12,14,25,35,37,2
59,7,8,9,17,22,24,5
60,1,2,11,16,39,44,32
61,22,26,31,37,41,42,24
62,3,6,17,23,37,39,26
63,2,6,17,18,21,26,7
64,9,11,16,21,28,36,5
65,3,9,10,29,40,45,7
66,2,5,12,14,24,39,33
67,1,6,13,37,38,40,9
68,1,21,25,29,34,37,36
69,2,13,25,28,29,36,34
70,6,21,36,38,39,43,30
71,6,12,19,23,34,42,35
72,1,18,28,31,34,43,40
73,11,20,29,31,33,42,43
74,2,18,24,30,32,45,14
75,1,14,15,24,40,41,35
76,2,9,10,16,35,37,1
77,4,15,24,35,36,40,1
78,10,11,20,21,25,41,40
79,4,9,23,26,29,33,8
80,1,9,26,28,30,41,32
81,7,9,22,27,37,42,34
82,4,12,22,24,33,41,38
83,2,12,30,31,39,43,38
84,3,4,15,22,28,40,10
85,14,21,35,36,40,44,30
86,13,18,30,31,38,41,5
87,3,8,17,20,27,35,26
88,9,18,19,30,34,40,20
89,9,10,15,30,33,37,26
90,2,13,16,19,32,33,42
91,1,8,13,36,44,45,39
92,10,12,18,35,42,43,39
93,12,14,25,27,39,40,35
94,3,15,20,22,24,41,11
95,4,11,28,39,42,45,6
96,4,8,10,16,31,36,9
97,2,10,13,22,29,40,26
98,7,11,13,17,18,29,43
99,4,10,20,32,38,44,18
100,1,3,30,33,36,39,12
101,23,27,29,31,36,45,37
102,1,6,15,36,37,38,5
103,14,15,23,25,35,43,32
104,8,21,25,38,39,44,28
105,7,9,12,15,19,23,4
106,3,4,10,20,28,44,30
107,4,15,22,38,41,43,26
108,10,16,18,20,25,31,6
109,13,24,32,34,39,42,4
110,3,11,34,42,43,44,13
111,3,17,18,23,36,41,26
112,2,6,13,17,27,43,36
113,5,7,12,22,28,41,1
114,2,3,26,33,34,43,29
115,9,14,17,18,42,44,35
116,7,11,12,31,33,38,5
117,1,3,23,24,27,43,34
118,6,21,22,32,35,36,17
119,2,6,11,13,22,37,14
120,16,19,24,33,42,44,27
121,6,14,16,21,27,37,40
122,5,8,18,21,22,38,10
123,4,5,12,14,32,42,35
124,1,11,17,27,35,39,31
125,7,24,29,30,34,35,33
126,3,16,21,22,23,44,30
127,21,27,29,38,40,44,37
128,2,5,14,28,31,32,20
129,3,4,16,27,38,40,20
130,2,6,8,26,43,45,11
131,2,15,16,21,22,28,45
132,7,19,23,24,36,39,30
133,5,18,20,23,30,34,21
134,7,13,16,18,35,38,14
135,8,19,20,21,33,39,37
136,18,21,28,35,37,42,17
137,6,7,12,22,26,36,29
138,5,12,25,26,38,45,23
139,16,26,31,38,39,41,23
140,19,32,37,40,41,43,45
141,1,15,17,23,25,41,10
142,4,9,17,18,26,42,36
143,9,13,28,31,39,41,19
144,1,4,14,18,29,37,6
145,3,13,29,38,39,42,26
146,3,7,12,31,34,38,32
147,8,14,17,27,36,45,10
148,19,23,28,37,42,45,2
149,1,3,24,27,39,45,31
150,4,14,23,28,37,45,17
151,9,18,32,33,37,44,22
152,18,34,39,43,44,45,23
153,4,18,20,26,27,32,9
154,7,17,19,23,24,45,38
155,1,4,10,14,15,35,20
156,2,6,11,16,25,31,3
157,5,17,18,22,23,43,12
158,5,16,21,26,34,42,24
159,19,22,30,34,39,44,36
160,1,15,19,23,28,42,32
161,3,5,12,13,33,39,38
162,2,4,30,32,33,43,29
163,2,6,12,26,30,34,38
164,21,25,30,32,40,42,31
165,2,6,20,27,37,39,4
166,12,17,28,41,43,44,25
167,14,17,19,22,24,40,41
168,9,15,29,34,37,39,12
169,3,15,22,32,33,45,2
170,3,7,10,13,25,36,32
171,16,21,28,35,39,43,12
172,10,34,38,40,42,43,32
173,11,17,19,21,22,25,24
174,4,8,18,25,27,32,42
175,8,22,35,38,39,41,24
176,9,13,32,38,39,43,23
177,6,10,16,28,34,38,43
178,10,24,40,41,43,44,17
179,8,15,17,19,43,44,7
180,20,25,31,32,36,43,3
181,2,8,23,26,27,44,13
182,11,17,28,30,33,35,9
183,14,18,22,26,31,44,40
184,16,20,24,28,36,39,5
185,5,13,17,29,34,39,3
186,1,2,16,22,38,39,34
187,12,16,26,28,30,42,22
188,5,18,30,41,43,45,13
189,1,16,29,33,40,45,6
190,7,8,13,15,33,45,18
191,19,21,30,33,34,42,4
192,14,26,32,36,39,42,38
193,5,11,14,30,33,38,24
194,2,4,11,28,29,43,27
195,3,9,11,12,13,19,35
196,9,14,17,33,36,38,20
197,2,25,28,30,33,45,6
198,1,9,11,14,26,28,19
199,9,10,13,28,38,45,35
200,6,8,18,35,42,43,3
201,12,18,30,39,41,42,19
202,13,14,19,26,40,43,30
203,3,10,16,19,31,39,9
204,5,6,16,18,37,38,17
205,4,5,31,35,43,45,29
206,4,7,13,29,31,39,18
207,5,11,12,29,33,44,14
208,13,16,24,25,33,36,42
209,8,15,21,31,33,38,42
210,7,9,24,29,34,38,26
211,12,18,24,26,39,40,15
212,9,18,20,24,27,36,12
213,1,12,13,24,29,44,16
214,10,21,22,30,35,42,6
215,16,25,33,38,40,45,15
216,14,15,25,28,29,30,3
217,3,9,12,13,25,43,34
218,12,18,19,29,31,39,7
219,17,21,25,26,27,36,4
220,2,21,28,38,42,45,30
221,11,30,34,35,42,44,27
222,1,3,12,14,16,43,10
223,8,11,19,21,36,45,25
224,5,10,13,21,39,43,11
225,6,11,15,17,23,40,39
226,15,21,31,32,41,43,24
227,6,10,18,25,34,35,33
228,14,20,23,31,37,38,27
229,3,12,13,18,31,32,42
230,1,10,13,26,32,36,9
231,5,9,14,26,30,43,2
232,10,11,12,18,24,42,27
233,17,25,28,37,43,44,2
234,1,4,10,12,28,45,26
235,12,17,23,34,42,45,33
236,2,10,14,22,32,36,41
237,5,22,31,32,39,45,36
238,1,21,26,36,40,41,5
239,3,10,13,26,34,38,36
240,6,7,18,19,30,38,13
241,10,15,21,35,38,43,31
242,2,7,19,25,29,36,16
243,2,10,12,31,33,42,32
244,3,8,19,27,30,41,12
245,2,6,7,12,19,45,38
246,2,10,11,19,35,39,29
247,5,6,13,16,27,28,9
248,12,15,16,20,24,30,38
249,4,6,15,25,26,33,40
250,3,10,23,24,31,39,22
251,14,15,16,17,38,45,36
252,6,18,31,34,38,45,20
253,11,16,18,19,24,39,43
254,15,17,19,21,27,45,16
255,6,12,19,24,34,41,4
256,6,21,35,36,37,41,11
257,6,12,17,21,34,37,18
258,8,9,18,21,28,40,20
259,11,12,29,33,38,42,17
260,12,15,18,28,34,42,9
