den,wt
223,23.6
0.5,23.4
7,24.25
10.5,23.6
83,23.6
185,23.5
196.5,23.75
29.5,23.9
497,24.15
450,23.35
200,23.5
186.5,24.3
13.5,24.25
22,24.15
750,23.6
175,24.5
205,23.75
14.5,23.9
12,23.9
60,23.65
185,23.5
130,23.85
82.5,23.9
207,24.35
241,23.9
150,23.45
48,23.1
202,24
1,24.55
123.5,24.1
450,23.3
770,23.7
125,23.6
175,23.65
4256,24.5
45,24.3
125,23.95
505,23.3
317,24.55
45,23.9
14,23.7
1016,23.2
28.5,23.65
110,22.4
160,22.4
840,22.85
240,22.05
68.5,22.55
275,22.7
1912.5,24.1
260,22.5
195,22.2
57,23.05
390,22.9
1402.5,22.7
195,22.2
394,22.9
675,24
1170,22.55
80,22.3
46,23.35
465,22
48,23.45
66.5,23.1
205,23.75
32,23.3
49,23.6
5000,25.3
675,26.85
4125,26.85
2310,25.4
4500,25.5
975,24.85
230,19.3
200,23.5
125,16.15
450,20.2
2500,20.95
25.3,20.95
500,20.6
0.16,26.75
0.15,26.1
0.05,27.4
17,26.45
139,26.05
5,26.65
164,29
1500,27.4
1203,26.1
575,17.9
4000,16
4000,16
4250,16.3
6,18.3
15,18.3
20,18.8
30,18.8
30,19.1
70,19.1
120,19.2
100,19.5
30,19.5
70,19.4
75,19.65
60,19.6
115,19.4
115,19.65
60,19.45
150,19.6
60,19.65
30,19.4
50,19.8
90,20.15
500,20
75,20.1
50,20
50,19.9
30,19.95
10,19.1
50,20
30,20.7
50,19.2
45,20.4
70,20.2
257,20.15
55,20.7
246,20.35
12.5,20.4
60,20.5
31,20.6
60,20.25
95,20.9
20,20.65
60,21
90,21.45
42,20.7
80,21.05
90,21.05
92,20.8
72,20.9
110,21.05
205,20.7
102.5,20.95
330,21.2
150,21.05
370,21.55
280,21.2
30,21.2
500,21.45
40,21.4
43,21.75
55,21.45
175,21.35
185,21.65
45,21.7
35,22.4
30,22.3
8,24.1
2,24.35
2.2,24.25
1.5,24.45
0.0025,24.6
15.5,23.5
2000,24
29,25.95
200,23.81
30,27.4
303,27.4
1000,22.6
900,23.9
450,25.95
260,25.5
117,25.95
400,19.5
2500,27.5
6000,27.5
350,24.4
380,24.2
100,24.1
300,23.255
300,26.3
309,25.6
150,23.225
800,23.28
850,22.1
500,23.2
200,24.5
750,24.2
110,23.9
500,23.9
9,22.5
250,22.5
1400,22.5
380,23.67
1095,21.7
1065,22.55
750,24.85
400,25.05
400,22.5
625,21.5
980,21.5
1275,22
1112.5,22.45
950,22
225,22.25
600,21.45
2400,21.5
450,23.05
70,20.45
7.5,24.3
172.5,21.25
800,20
875,22
1100,23
20,21.1
1350,21.1
1300,20.75
550,19
300,18
1850,22
2550,19
4100,21.9
520,17.9
900,21
300,21
1500,24.35
4835,24.65
55,24.65
2000,22.5
3040,24.78
800,22.6
9800,17.4
6220,21.6
4000,24
1750,19
1250,15.7
450,10.2
1150,22.25
1050,21.1
25,23.3
350,24
210,23.55
500,23.95
102,23.35
