Date,WTi,Brent,Dubai
1,76.87,81.36,83.25
2,77.57,81.9,84.18
3,79.26,82.88,84.18
4,79.8,83.71,85.14
5,80.06,83.98,84.61
6,79.23,83.27,83.74
7,78.63,82.75,83.42
8,78.02,82.38,83.91
9,79.12,83.36,83.87
10,78.26,82.79,84.86
11,79.26,83.88,84.67
12,78.99,83.58,82.98
13,78.38,83.16,84.12
14,78.48,83.33,84.02
15,78.11,82.96,84.12
16,78.95,83.67,84.52
17,79,83.44,88.59
18,81.93,87.86,88.59
19,82.63,88.4,88.9
20,83.85,89.5,88.99
21,83.57,89.01,88.62
22,82.81,88.02,88.86
23,83.36,88.42,88.47
24,82.85,87,86.41
25,83.14,87.29,87.72
26,82.73,87.11,87.43
27,82.69,87.29,90.07
28,85.36,90.02,90.26
29,85.41,90.1,89.53
30,85.66,90.45,90.48
31,85.02,89.74,90.88
32,86.21,90.48,90.74
33,85.23,89.42,90.74
34,86.43,90.38,90.03
35,86.91,91.17,90.89
36,86.59,90.65,89.63
37,85.43,89.35,89.48
38,85.15,88.92,89.04
39,83.71,87.42,87.65
40,83.17,87.48,86.31
41,81.35,86.09,85.22
42,81.62,86.25,86.18
43,81.95,86.75,85.5
44,80.63,85.43,85.49
45,81.07,85.78,86
46,81.68,85.95,86.51
47,83.47,86.89,86.43
48,82.72,86.89,85.65
49,81.04,85.34,84.81
50,81.26,85.42,84.09
51,79.72,84.03,82.22
52,77.56,81.92,82.84
53,77.93,82.21,82.1
54,78.01,82.08,83.35
55,78.93,82.96,82.36
56,79.13,82.96,82.02
57,78.15,82.04,81.79
58,78.74,82.8,83.1
59,79.97,83.55,81.55
60,78.26,83.62,81.78
61,78.54,83.68,81.84
62,78.87,83.65,82.06
63,77.58,82.53,80.42
64,76.49,81.62,82.02
65,78.61,83.67,82.61
66,77.91,83.03,81.44
67,78.18,82.34,82.76
68,79.19,83.47,82.07
69,78.03,82.86,80.57
70,76.64,81.6,82.45
71,77.87,82.77,81.9
72,76.84,82.19,81.02
73,76.22,81.63,79.32
74,73.86,79.21,78.51
75,73.31,78.59,77.98
76,72.78,77.99,77.4
77,72.28,77.33,78.92
78,73.82,78.7,80.31
79,75.85,81.71,82.41
80,77.82,82.87,81.9
81,76.78,82.4,83.31
82,78.01,83.55,81.67
83,77.36,82.43,80.31
84,75.09,80.04,79.57
85,74.37,79.55,79.89
86,75.19,80.06,77.76
87,73.41,78.56,78.88
88,74.08,79.1,77.54
89,72.56,77.88,76.77
90,72.4,78.29,77.83
91,72.68,78.29,79.03
92,72.02,77.41,77.3
93,71.37,76.8,77.99
94,72.24,77.59,76.84
95,70.77,76.12,77.87
96,73.81,78.76,77.78
97,72.19,77.59,78.64
98,72.7,78.25,75.28
99,70.38,75.89,78.1
100,71.65,77.04,77.08
101,71.77,78.39,79.09
102,74.11,79.65,80.19
103,75.57,81.07,78.65
104,73.56,79.07,79.12
105,73.89,79.39,78.84
106,74.22,79.7,79.06
107,73.44,79.23,76.83
108,72.47,77.95,76.17
109,71.43,76.55,76.16
110,71.58,76.61,74.38
111,69.47,74.26,71.63
112,68.61,73.24,76.23
113,71.32,76.03,76.63
114,71.23,75.84,76.07
115,69.34,74.05,75
116,69.38,74.3,77.53
117,72.32,77.2,78.53
118,73.04,78.03,78.03
119,74.07,78.88,81.31
120,75.96,82.83,85.38
121,77.86,83.1,82.99
122,76.41,81.68,82.14
123,74.86,79.98,81.49
124,75.54,80.58,83.05
125,77.1,81.96,84.19
126,77.77,82.45,83.39
127,77.6,82.32,82.79
128,75.89,80.61,79.23
129,72.9,77.42,81.67
130,76.66,81.18,83.23
131,78.26,82.47,83.35
132,77.17,81.43,81.62
133,75.74,80.01,81.29
134,75.33,79.54,82.74
135,77.37,81.61,85.04
136,80.82,85.18,86.89
137,80.51,84.89,88.26
138,82.46,86.85,86.94
139,80.44,84.63,86.25
140,81.02,87.41,88.05
141,82.31,87.45,89.85
142,85.54,90.48,89.72
143,83.21,87.93,90.11
144,85.39,90.13,89.03
145,83.74,88.07,90.49
146,85.49,89.83,92.34
147,88.75,92.16,93.44
148,89.37,92.38,91.19
149,88.32,91.5,92.48
150,86.66,89.9,90.78
151,86.66,89.65,91.13
152,87.69,90.89,88.88
153,82.91,86,87.27
154,83.49,85.82,88.2
155,85.97,87.65,88.49
156,86.38,88.15,87.05
157,82.79,84.58,84.83
158,82.31,84.07,86.29
159,84.22,85.81,90.66
160,89.23,90.92,91.09
161,88.82,90.71,93.12
162,90.79,95.31,96.1
163,91.71,95.38,96.75
164,93.68,96.55,94.46
165,90.39,93.96,92.83
166,89.68,93.29,94.09
167,90.03,93.27,94.27
168,89.63,93.3,93.23
169,90.28,93.53,93.85
170,91.2,94.34,95.19
171,91.48,94.43,95.2
172,90.77,93.93,95.56
173,90.16,93.7,93.84
174,88.52,91.88,93.89
175,88.84,92.06,92.34
176,87.29,90.64,91.59
177,87.51,90.65,91.08
178,86.87,89.92,91.49
179,87.54,90.6,90.58
180,86.69,90.04,89.2
181,85.55,88.55,88.03
182,83.63,86.86,87.53
183,81.63,85.86,86.78
184,81.16,85.49,86.09
185,80.1,84.42,86.29
186,79.83,84.48,86.17
187,79.05,83.36,85.09
188,78.89,83.21,85.34
189,80.35,84.03,85.74
190,80.72,84.46,86.93
191,81.25,84.8,85.41
192,80.39,84.12,84.94
193,79.38,83.45,86.04
194,80.99,84.89,87.14
195,82.51,86.21,87.61
196,83.19,86.81,87.86
197,82.82,86.4,89.03
198,82.92,86.17,87.09
199,81.94,85.34,87.73
200,82.82,86.24,87.11
201,81.55,85.14,83.97
202,79.49,83.2,86.29
203,81.37,84.91,85.85
204,81.8,85.56,85.64
205,80.58,84.99,84.71
206,80.09,84.24,84.09
207,78.78,82.92,84.29
208,79.63,83.64,84.25
209,78.74,82.74,82.52
210,77.07,81.07,81.77
211,75.63,79.64,81.04
212,75.35,79.46,80.99
213,75.75,79.63,79.59
214,74.15,78.5,79.47
215,75.42,79.87,81.97
216,76.89,81.36,81.09
217,75.75,80.11,79.91
218,74.83,79.4,78.79
219,72.99,77.69,78.28
220,73.86,78.47,77.86
221,71.8,76.52,77.29
222,71.79,76.65,75.44
223,69.79,74.65,75.21
224,70.64,74.9,76.63
225,69.56,74.03,74.24
226,67.7,72.26,75.48
227,69.37,74.18,74.49
228,69.16,73.85,74.07
229,69.51,74.14,77.44
230,72.53,77.12,76.96
231,70.5,75.9,77.44
232,71.78,76.61,75.44
233,70.62,75.67,73.34
234,68.27,73.2,74.61
235,69.42,74.29,71.97
236,67.12,71.84,72.38
237,70.17,74.79,75.22
238,71.29,75.96,76.16
239,72.53,76.95,75.22
240,71.74,76.29,74.31
241,72.15,76.71,76.41
242,70.1,74.28,71.66
243,68.09,72.66,72.25
244,69.46,73.54,74.95
245,72.67,76.95,75.33
246,71.83,76.26,76.72
247,74.34,78.36,76.64
248,72.91,76.84,74.9
249,71.99,75.99,74.47
250,71.55,75.58,74.99
251,71.86,75.86,75.37
252,72.83,76.96,73.18
253,70.86,74.91,74.6
254,71.11,75.23,73.33
255,70.04,74.17,73.54
256,70.87,74.98,76.22
257,72.56,76.41,75.74
258,73.71,77.44,75.85
259,73.16,77.01,76.21
260,71.34,75.3,73.27
261,68.56,72.5,72.97
262,68.6,72.33,73.66
263,71.66,75.32,78.61
264,76.78,79.54,79.73
265,74.76,78.37,78
266,74.3,77.69,80.28
267,77.07,80.77,82.79
268,78.76,82.73,80.95
269,77.87,81.66,80.77
270,77.29,81.1,81.74
271,79.16,83.12,83.58
272,80.86,84.77,84.69
273,80.83,84.76,85.93
274,82.52,86.31,86.06
275,82.16,86.09,87.36
276,83.26,87.33,85.58
277,81.53,85.61,84.53
278,79.74,84.18,84.76
279,80.7,85.12,84.57
280,80.61,84.99,84.89
281,80.71,84.94,85.08
282,80.42,84.93,84.1
283,75.67,79.77,78.08
284,74.37,79.27,77.78
285,72.97,78.28,78.04
286,73.2,78.65,77.89
287,72.81,78.12,74.77
288,69.26,74.99,75.14
289,69.96,75.91,76.12
290,70.9,76.69,74.59
291,69.33,75.32,73.74
292,67.64,73.79,70.31
293,66.74,72.97,74.84
294,68.35,74.7,73.96
295,67.61,73.69,77.82
296,71.33,77.45,79.07
297,74.8,80.77,82.35
298,76.68,82.78,80.23
299,75.72,81.59,81.8
300,76.66,82.66,81.99
301,77.58,83.29,84.6
302,80.46,86.18,84.11
303,79.68,85.83,83.23
304,78.16,84.75,82.87
305,77.69,84.31,82.48
306,77.05,83.45,81.92
307,75.68,82.45,82.21
308,76.32,83.16,82.07
309,75.39,82.21,80.07
310,73.95,80.6,80.83
311,76.16,83.05,81.91
312,76.34,83,82.21
313,78.49,85.14,84.03
314,78.59,85.38,83.31
315,79.06,85.58,84.91
316,80.14,86.61,84.43
317,79.72,86.39,83.58
318,78.06,84.5,83.23
319,78.47,85.09,81.93
320,77.14,83.69,80.46
321,74.11,80.99,78.36
322,73.39,79.94,79.77
323,75.88,82.17,80.9
324,76.41,82.84,83.6
325,78.87,84.49,80.91
326,77.9,84.9,82.63
327,79.68,86.66,84.17
328,81.01,87.47,83.23
329,80.15,86.12,83.52
330,81.31,87.63,83.88
331,80.33,86.16,81.43
332,79.48,84.98,83.7
333,80.18,85.92,82.54
334,79.86,85.28,81.07
335,78.39,84.03,79.53
336,77.41,82.67,76.84
337,75.12,80.1,76.04
338,74.63,79.65,77.09
339,73.77,78.57,75.2
340,73.67,78.69,75.19
341,72.84,77.84,77.1
342,76.93,82.1,82.07
343,80.26,85.91,78.77
344,78.4,82.26,78.15
345,78.96,83.26,80
346,79.53,84.33,80.63
347,79.56,83.92,78.11
348,77.49,80.98,78.88
349,78.29,82.2,76.74
350,76.09,79.99,75.79
351,75.19,79.8,75.36
352,74.29,79.04,76.36
353,76.11,81.21,77.73
354,77.28,82.7,76.71
355,75.39,80.68,75.48
356,73.17,77.99,71.83
357,71.02,76.1,72.05
358,71.46,76.15,73.09
359,72.01,77.17,74.85
360,74.25,79.35,77.97
361,76.93,82.68,80.81
362,79.98,85.57,80.98
363,81.22,86.88,81.37
364,80.55,85.43,80.44
365,78.2,83.03,80.96
366,77.24,83.19,76.68
367,76.28,83.63,81.08
368,77.94,85.41,81.83
369,80.95,88.36,82.35
370,79.73,87.45,81.27
371,80.08,87.62,84.35
372,81.64,89.78,87.18
373,85.59,92.86,88.06
374,86.92,93.86,86.83
375,85.87,93.14,91.04
376,88.96,95.99,91.05
377,86.47,93.67,87.18
378,85.83,92.65,89.8
379,88.91,95.36,92.34
380,91.79,97.92,92.92
381,92.61,98.57,92.31
382,88.17,94.67,89.83
383,90,96.16,91.02
384,88.37,94.65,91.44
385,86.53,94.83,90.64
386,87.9,95.77,92.66
387,89.08,96.96,92.4
388,87.91,95.69,90.39
389,85.32,93.52,89.6
390,85.05,93.5,90.74
391,85.55,92.41,85.79
392,85.55,92.41,85.79
393,82.82,90.03,88.85
394,85.46,91.62,89.69
395,85.61,91.63,92.12
396,89.11,94.57,91.19
397,87.27,92.45,92.95
398,89.35,94.29,93.73
399,91.13,96.19,96.51
400,88.45,93.31,94.42
401,88.45,94.42,93.31
402,87.76,93.37,91.22
403,86.52,91.8,88.82
404,83.63,88.86,88.28
405,79.49,87.96,89.51
406,81.23,88.49,87.33
407,82.15,89.32,84.66
408,78.5,86.27,84.25
409,76.71,84.06,84.89
410,78.74,86.15,88.82
411,83.49,90.46,91.21
412,82.94,89.83,92.77
413,84.45,90.62,92.59
414,85.73,92,90.36
415,85.11,91.35,91.04
416,85.1,90.84,93.66
417,88.48,94.1,92.73
418,87.31,93.17,94.5
419,87.78,94,92.42
420,86.79,92.84,90.45
421,81.94,88,92.27
422,86.88,92.83,95.25
423,86.88,92.83,95.25
424,86.87,93.02,94.74
425,86.61,92.36,93.99
426,89.55,96.49,97.88
427,91.64,99.31,102.84
428,97.01,105.09,100.21
429,93.06,100.99,99.68
430,92.52,99.34,99.92
431,94.89,101.22,99.54
432,93.74,100.22,96.54
433,90.23,96.48,93.97
434,90.77,96.72,94.36
435,90.5,96.59,92.85
436,88.11,93.65,90.45
437,86.53,92.34,92.12
438,89.41,95.1,94.6
439,92.09,98.15,98.24
440,94.34,99.6,96.03
441,91.93,97.4,94.89
442,90.76,96.65,94.31
443,89.01,94.92,93.75
444,88.54,94.12,95.73
445,90.66,96.78,98.4
446,94.42,100.54,98.02
447,93.89,100.03,101.54
448,98.62,110.01,107.23
449,96.42,107.14,105.04
450,97.26,106.62,101.43
451,94.98,104.4,104.96
452,96.7,104.4,104.96
453,94.7,103.2,102.67
454,96.35,103.86,101.96
455,102.26,106.92,104.39
456,104.22,107.35,104.84
457,102.6,106.27,102.62
458,97.59,101.16,98.33
459,95.78,99.1,97.73
460,96.3,99.57,98.41
461,95.84,99.49,102.16
462,104.79,107.02,104.03
463,102.73,104.65,98.19
464,98.53,100.69,101.73
465,99.5,102.77,111.07
466,108.43,111.63,106.34
467,105.76,114.81,113.4
468,109.78,116.26,114.22
469,111.76,117.98,113.21
470,109.57,115.09,110.03
471,107.62,113.12,106.51
472,104.27,110.05,106.48
473,106.19,111.74,106.62
474,110.65,114.65,111.79
475,109.56,113.12,116.29
476,117.59,119.81,114.99
477,115.31,118.51,116.33
478,118.93,121.17,118.67
479,120.93,122.27,115.63
480,120.67,122.01,118.94
481,121.51,123.07,118.83
482,122.11,123.58,116.52
483,119.41,120.57,115.6
484,118.5,119.51,115.66
485,118.87,119.72,112.12
486,116.87,117.61,108.99
487,115.26,116.29,112.7
488,114.67,122.84,116.41
489,115.07,119.43,112.36
490,114.09,117.4,108.93
491,110.33,114.03,109.19
492,109.77,113.56,107.94
493,110.29,113.42,109.47
494,113.23,112.55,108.07
495,112.21,112.04,105.52
496,109.59,109.11,109.79
497,112.4,111.93,110.88
498,110.49,111.55,106.65
499,106.13,107.45,102.81
500,105.71,107.51,102.94
501,99.76,102.46,103.13
502,103.09,105.94,107.99
503,109.77,112.39,107.82
504,108.26,110.9,106.66
505,107.81,110.14,104.7
506,104.69,109.34,105.37
507,105.36,107.59,102.83
508,102.02,105.32,103.05
509,101.7,104.99,99.57
510,98.54,102.32,99.72
511,102.07,106.65,105.04
512,103.79,108.33,106.17
513,102.75,106.8,105.56
514,102.56,107.25,108.69
515,108.21,113.16,108.11
516,106.95,111.7,105.88
517,104.25,108.78,102.44
518,100.6,104.64,98.14
519,94.29,98.48,97.64
520,98.26,102.78,98.14
521,96.03,100.58,97.41
522,96.23,101.07,103.79
523,101.96,106.64,105.34
524,103.28,107.53,101.84
525,99.27,104.39,101.61
526,100.28,107.91,107.71
527,107.82,113.45,108.38
528,104.24,110.23,108.58
529,105.96,112.48,110.67
530,112.34,119.03,115.6
531,114.83,121.6,111.8
532,111.76,115.48,111.19
533,112.12,115.62,109.81
534,104.7,107.93,106.62
535,102.98,106.64,100.86
536,95.04,98.02,102.52
537,96.44,99.91,99.78
538,103.01,106.9,109.88
539,109.33,112.67,110.49
540,106.01,109.33,115.33
541,108.7,111.14,127.86
542,123.7,127.98,122.99
543,119.4,123.21,125.19
544,115.68,118.11,108.84
545,107.67,110.46,116.65
546,110.6,112.93,110.05
547,103.41,104.97,98.71
548,95.72,100.99,96.86
549,91.59,97.93,95.84
550,92.81,99.08,98.64
551,92.1,96.84,93.65
552,92.35,96.84,96.01
553,91.07,93.54,90.3
554,91.76,92.97,91.9
555,93.66,94.81,92.6
556,92.07,93.28,93.05
557,95.46,96.48,92.72
558,93.1,94.44,90.25
559,89.88,91.41,90.6
560,89.66,91.55,89.39
561,89.36,90.78,90.42
562,91.32,92.69,90.91
563,92.31,93.27,90.22
564,90.27,91.11,87.46
565,88.15,91.21,88.39
566,86.82,90.03,87.58
567,86.61,89.34,87.8
568,87.35,89.96,86.77
569,85.6,88.2,84.86
570,83.31,86.27,86.71
571,85.14,87.89,85.14
572,85.14,87.89,85.14
573,86.9,88.38,86.35
574,86.96,88.44,86.37
