Date,WTi,Brent,Dubai
###############################################################################################################################################################################################################################################################,76.87,81.36,83.25
###############################################################################################################################################################################################################################################################,77.57,81.9,84.18
###############################################################################################################################################################################################################################################################,79.26,82.88,84.18
###############################################################################################################################################################################################################################################################,79.8,83.71,85.14
###############################################################################################################################################################################################################################################################,80.06,83.98,84.61
###############################################################################################################################################################################################################################################################,79.23,83.27,83.74
###############################################################################################################################################################################################################################################################,78.63,82.75,83.42
###############################################################################################################################################################################################################################################################,78.02,82.38,83.91
###############################################################################################################################################################################################################################################################,79.12,83.36,83.87
###############################################################################################################################################################################################################################################################,78.26,82.79,84.86
###############################################################################################################################################################################################################################################################,79.26,83.88,84.67
###############################################################################################################################################################################################################################################################,78.99,83.58,82.98
###############################################################################################################################################################################################################################################################,78.38,83.16,84.12
###############################################################################################################################################################################################################################################################,78.48,83.33,84.02
###############################################################################################################################################################################################################################################################,78.11,82.96,84.12
###############################################################################################################################################################################################################################################################,78.95,83.67,84.52
###############################################################################################################################################################################################################################################################,79,83.44,88.59
###############################################################################################################################################################################################################################################################,81.93,87.86,88.59
###############################################################################################################################################################################################################################################################,82.63,88.4,88.9
###############################################################################################################################################################################################################################################################,83.85,89.5,88.99
###############################################################################################################################################################################################################################################################,83.57,89.01,88.62
###############################################################################################################################################################################################################################################################,82.81,88.02,88.86
###############################################################################################################################################################################################################################################################,83.36,88.42,88.47
###############################################################################################################################################################################################################################################################,82.85,87,86.41
###############################################################################################################################################################################################################################################################,83.14,87.29,87.72
###############################################################################################################################################################################################################################################################,82.73,87.11,87.43
###############################################################################################################################################################################################################################################################,82.69,87.29,90.07
###############################################################################################################################################################################################################################################################,85.36,90.02,90.26
###############################################################################################################################################################################################################################################################,85.41,90.1,89.53
###############################################################################################################################################################################################################################################################,85.66,90.45,90.48
###############################################################################################################################################################################################################################################################,85.02,89.74,90.88
###############################################################################################################################################################################################################################################################,86.21,90.48,90.74
###############################################################################################################################################################################################################################################################,85.23,89.42,90.74
###############################################################################################################################################################################################################################################################,86.43,90.38,90.03
###############################################################################################################################################################################################################################################################,86.91,91.17,90.89
###############################################################################################################################################################################################################################################################,86.59,90.65,89.63
###############################################################################################################################################################################################################################################################,85.43,89.35,89.48
###############################################################################################################################################################################################################################################################,85.15,88.92,89.04
###############################################################################################################################################################################################################################################################,83.71,87.42,87.65
###############################################################################################################################################################################################################################################################,83.17,87.48,86.31
###############################################################################################################################################################################################################################################################,81.35,86.09,85.22
###############################################################################################################################################################################################################################################################,81.62,86.25,86.18
###############################################################################################################################################################################################################################################################,81.95,86.75,85.5
###############################################################################################################################################################################################################################################################,80.63,85.43,85.49
###############################################################################################################################################################################################################################################################,81.07,85.78,86
###############################################################################################################################################################################################################################################################,81.68,85.95,86.51
###############################################################################################################################################################################################################################################################,83.47,86.89,86.43
###############################################################################################################################################################################################################################################################,82.72,86.89,85.65
