num,gas_use
1,31391
2,31200
3,23864
4,17508
5,10151
6,3442
7,2878
8,6446
9,6123
10,1963
11,3753
12,14229
13,26622
14,26973
15,21304
16,14396
17,3496
18,5126
19,15543
20,15242
21,2164
22,5835
23,12098
24,24206
25,18872
26,13629
27,13239
28,8390
29,2749
30,1508
31,1373
32,1327
33,1432
34,1861
35,4844
36,12039
37,18209
38,13490
39,10074
40,4770
41,2412
42,2023
43,1690
44,1684
45,1712
46,2093
47,8612
48,470839
49,14467
50,14144
51,9829
52,5555
53,2394
54,2601
55,2116
56,2099
57,2186
58,2162
59,8373
60,12416.7531
61,17119.224
62,12413
63,8791
64,3027.5142
65,2443.5856
66,1959.572
67,2023.4224
68,1849.3204
69,1537.8542
70,3176.742
71,7654.5958
72,12226.725
73,15078.3238
74,11017.8168
75,8701.3116
76,6367.1352
77,2355.2822
78,1884.5216
79,2073.1772
80,1972.2234
81,1812.3536
82,2356.4166
83,7728.8874
84,12210.1058
85,13071.1604
86,11311.2066
87,10281.0244
88,7102.3852
89,2180.5524
90,2124.5084
91,1883.328
92,1473.5832
93,1812.7692
94,2658.13
95,6380.9848
96,13124
97,14782
98,10494
99,8199
100,3702
101,2102
102,2022
103,1766
104,1585
105,1448
106,1715
107,5896
108,11547
109,13349
110,12435
111,7280
112,3295
113,1907
114,1691
115,1396
116,1419
117,1473
118,2462
119,3458
120,12106
121,10862
122,7073
123,3816
124,2111
125,1915
126,1727
127,1216
128,1091
129,1165
130,2275
131,4340
132,8465
133,10992
134,7021
